Usuário,Avaliações,SVD_Precision@10,TFIDF_Precision@10,SVD_Recall@10,TFIDF_Recall@10,SVD_NDCG@10,TFIDF_NDCG@10,SVD_Diversidade,TFIDF_Diversidade
4169,2314,0.9,0.2,0.0248,0.0055,0.9216,0.3052,0.7659,-0.0
1680,1850,0.9,0.1,0.0271,0.003,0.89,0.0694,0.8336,-0.0
4277,1743,1.0,0.3,0.0233,0.007,1.0,0.2711,0.7604,0.1073
1941,1595,0.9,0.0,0.0511,0.0,0.9216,0.0,0.7531,0.1693
1181,1521,0.9,0.0,0.1,0.0,0.9364,0.0,0.8094,0.1693
889,1518,0.6,0.0,0.055,0.0,0.6719,0.0,0.8014,-0.0
3618,1344,0.5,0.1,0.0833,0.0167,0.5704,0.0734,0.7776,0.0
2063,1323,0.7,0.0,0.0598,0.0,0.7632,0.0,0.8314,-0.0
1150,1302,0.5,0.0,0.0625,0.0,0.3725,0.0,0.8387,-0.0
1015,1286,0.6,0.1,0.0252,0.0042,0.6691,0.0663,0.7931,-0.0
5795,1277,0.6,0.1,0.0335,0.0056,0.7152,0.2201,0.6243,-0.0
4344,1271,0.6,0.0,0.0296,0.0,0.7116,0.0,0.8978,-0.0
1980,1260,0.5,0.1,0.0256,0.0051,0.4928,0.0734,0.7826,-0.0
2909,1258,0.7,0.2,0.0286,0.0082,0.688,0.2025,0.7698,0.3725
1449,1243,0.8,0.0,0.0762,0.0,0.8486,0.0,0.7852,-0.0
4510,1240,0.7,0.2,0.0833,0.0238,0.8007,0.1546,0.8794,0.244
424,1226,0.8,0.1,0.0339,0.0042,0.8201,0.11,0.8331,-0.0
4227,1222,0.8,0.1,0.0635,0.0079,0.8701,0.11,0.7785,0.3048
5831,1220,0.4,0.0,0.0162,0.0,0.3529,0.0,0.8662,-0.0
3841,1216,0.7,0.0,0.0435,0.0,0.7968,0.0,0.7585,0.3665
MÉDIA,—,0.705,0.08,0.0473,0.0046,0.7407,0.0828,0.797,0.0867
DESVIO,—,0.1669,0.0894,0.0245,0.0062,0.1815,0.0992,0.0584,0.1346
