Usuário,Avaliações,SVD_Precision@10,TFIDF_Precision@10,SVD_Recall@10,TFIDF_Recall@10,SVD_NDCG@10,TFIDF_NDCG@10,SVD_Diversidade,TFIDF_Diversidade
405,737,0.9,0.0,0.2647,0.0,0.8611,0.0,0.7361,-0.0
655,685,0.5,0.5,0.1471,0.1471,0.4915,0.5452,0.7412,0.0
13,636,0.9,0.2,0.1125,0.025,0.9337,0.1514,0.8472,-0.0
450,540,0.7,0.1,0.0619,0.0088,0.7165,0.0636,0.6116,0.2025
276,518,1.0,0.2,0.122,0.0244,1.0,0.1682,0.7354,0.1073
416,493,0.6,0.0,0.0625,0.0,0.7152,0.0,0.7797,0.1253
537,490,0.8,0.1,0.2051,0.0256,0.8166,0.0734,0.7736,0.0
303,484,0.7,0.3,0.0933,0.04,0.7569,0.29,0.855,-0.0
234,480,0.7,0.1,0.1489,0.0213,0.7313,0.0948,0.8331,-0.0
393,448,0.3,0.1,0.0508,0.0169,0.2154,0.2201,0.7603,0.1693
181,435,0.3,0.0,0.5,0.0,0.5284,0.0,0.8232,0.0
279,434,0.4,0.3,0.0645,0.0484,0.5174,0.2083,0.7963,0.3252
429,414,0.4,0.0,0.0727,0.0,0.4569,0.0,0.7313,-0.0
846,405,0.3,0.0,0.0385,0.0,0.2212,0.0,0.7715,-0.0
7,403,0.5,0.1,0.061,0.0122,0.6137,0.0663,0.8117,0.419
94,400,0.5,0.1,0.0694,0.0139,0.63,0.0784,0.8229,-0.0
682,399,0.5,0.0,0.1136,0.0,0.6275,0.0,0.7614,0.3985
308,397,0.7,0.1,0.0909,0.013,0.7574,0.1389,0.8929,-0.0
92,388,0.3,0.1,0.0625,0.0208,0.4252,0.0948,0.7805,0.1073
293,388,0.9,0.0,0.25,0.0,0.9149,0.0,0.7935,0.0
MÉDIA,—,0.595,0.115,0.1296,0.0209,0.6465,0.1097,0.7829,0.0927
DESVIO,—,0.2282,0.1309,0.1085,0.0329,0.2181,0.134,0.0597,0.1408
